Age,Income,Credit_Score,Loan_Amount,Loan_Term,Employment_Type,Education,Existing_Loans,Dependents,Loan_Approved
39,105867,597,908179,24,Self-employed,Graduate,1,1,1
22,30114,675,548216,60,Salaried,Not Graduate,3,4,0
33,118657,803,469066,24,Salaried,Graduate,0,3,1
35,64107,815,537115,12,Salaried,Graduate,3,1,1
50,101177,776,692412,60,Self-employed,Not Graduate,1,3,1
49,85945,676,930660,36,Self-employed,Graduate,2,3,0
25,92901,670,334913,36,Self-employed,Graduate,1,1,1
35,118410,628,790734,24,Salaried,Not Graduate,3,2,0
55,140139,762,115290,24,Self-employed,Not Graduate,4,0,1
57,117714,794,56182,36,Self-employed,Not Graduate,3,4,0
55,75812,799,280080,36,Self-employed,Not Graduate,0,3,1
42,123989,634,931334,48,Salaried,Graduate,3,4,0
57,25104,592,723971,48,Salaried,Not Graduate,1,0,0
37,117379,717,271941,48,Self-employed,Not Graduate,3,2,1
47,84131,591,543152,12,Salaried,Not Graduate,1,0,1
23,26134,676,259044,12,Salaried,Graduate,1,3,0
28,75138,788,783442,36,Self-employed,Graduate,4,4,1
28,60930,709,163349,60,Salaried,Not Graduate,4,3,1
46,69990,588,670859,24,Salaried,Not Graduate,4,0,0
57,28766,727,608623,48,Self-employed,Graduate,4,2,0
21,128115,800,160665,48,Self-employed,Not Graduate,1,3,1
32,88800,825,862270,48,Self-employed,Not Graduate,4,2,1
41,82355,594,342477,48,Salaried,Not Graduate,4,4,0
45,106184,564,568317,36,Salaried,Not Graduate,1,2,1
37,107217,693,973082,60,Self-employed,Graduate,4,1,1
26,81270,758,562311,60,Salaried,Not Graduate,3,3,1
22,42393,700,282360,48,Salaried,Not Graduate,4,2,1
51,108113,767,832169,60,Self-employed,Not Graduate,3,2,1
40,83903,668,176516,24,Self-employed,Graduate,4,1,1
33,74723,797,339930,60,Self-employed,Graduate,1,2,1
35,112602,641,366950,12,Salaried,Not Graduate,0,0,1
56,94581,614,718854,48,Salaried,Graduate,4,2,0
51,143492,775,407256,24,Salaried,Not Graduate,3,0,1
25,123043,801,127680,60,Salaried,Graduate,1,4,1
40,40329,677,174205,60,Self-employed,Graduate,4,3,0
49,134056,702,951950,60,Self-employed,Not Graduate,4,4,1
24,44013,656,705900,24,Self-employed,Graduate,1,1,0
32,37677,630,52805,48,Self-employed,Not Graduate,2,0,0
35,93524,694,787135,48,Salaried,Graduate,2,4,1
33,129447,608,621015,24,Salaried,Not Graduate,1,0,1
24,61495,707,673948,60,Self-employed,Not Graduate,0,3,1
40,123515,689,574783,60,Self-employed,Not Graduate,0,4,1
23,131253,715,683039,36,Salaried,Graduate,1,4,1
58,23438,687,654238,12,Salaried,Not Graduate,4,3,0
38,65576,849,507058,48,Salaried,Not Graduate,2,3,1
42,102163,603,949398,24,Self-employed,Not Graduate,3,2,0
46,27619,782,142337,36,Self-employed,Not Graduate,0,3,1
53,18301,827,534417,48,Salaried,Graduate,4,2,0
